Date,close,high,low,open,volume
2019-08-19,145.26922607421875,146.5776513614746,144.8388242289866,145.43278087697846,2630100
2019-08-20,144.23622131347656,145.32084204670542,144.15014885095903,145.21753670293916,2362000
2019-08-21,145.0712432861328,145.9320469670022,144.4342438337536,145.05402353476532,1724100
2019-08-22,142.95362854003906,146.4140487896363,142.85032319920884,145.54464207445608,4017700
2019-08-23,137.71133422851562,142.4285466592462,136.91079331324582,142.1272601934974,3590000
2019-08-26,136.96249389648438,139.81175238857932,136.25662847188784,138.98538809153675,3297700
2019-08-27,135.55075073242188,138.33975926465664,135.38719593865824,138.33975926465664,3994900
2019-08-28,136.35130310058594,137.4961736168625,134.8104702312046,135.55076195094648,5841100
2019-08-29,140.07554626464844,140.98496167885708,137.0268577284396,138.0921661312697,4395000
2019-08-30,140.27476501464844,142.11090853507358,139.8417113001519,140.6645107145452,2987200
2019-09-03,137.99688720703125,140.39600829381254,137.45123534137986,139.4865929229767,2682400
2019-09-04,138.64646911621094,139.356670286093,137.38194654344585,138.7850494669317,3890400
2019-09-05,143.8864288330078,144.34546470490028,140.39601701388193,140.6991466791551,3802900
2019-09-06,142.56130981445312,144.82185107709586,142.16289452149678,144.12896238520582,2055600
2019-09-09,143.8777313232422,144.17221783053685,142.05024450749866,143.01162407816463,3297600
2019-09-10,145.13363647460938,145.27220362715903,142.77782307649795,143.21087681562503,3006700
2019-09-11,144.8997344970703,145.49735056842906,143.53128356073722,145.37609609132343,2617900
2019-09-12,145.2548828125,146.0083920471047,143.90374412128557,145.2548828125,2357500
2019-09-13,148.494140625,149.15239083801785,146.38950556791036,146.65799680079806,3160000
2019-09-16,146.32882690429688,148.0090771947388,144.63992029845272,146.20757240992214,2652500
2019-09-17,144.55331420898438,146.96109163103472,144.06829619817563,146.27687262630442,3135800
2019-09-18,145.39344787597656,145.56667993199264,142.95968814850522,143.9210679100927,1610000
2019-09-19,144.7351837158203,145.58396512416232,144.20685776235536,145.39342047106032,2463500
2019-09-20,144.10299682617188,145.99977471775537,143.43609022697606,145.69663175018798,3620400
2019-09-23,143.81710815429688,144.80446986765858,143.20216620619775,143.77380014965652,2116800
2019-09-24,142.97703552246094,146.67531845057428,142.11958429279346,144.7179069352075,3738800
