Date,close,high,low,open,volume
2019-08-19,90.50887298583984,91.39155936214922,90.28403370115058,91.29163008526656,8265400
2019-08-20,89.35970306396484,90.30068622570445,89.3014125776507,89.80937525261105,8374000
2019-08-21,89.60951232910156,90.2923463812012,89.47627331738175,90.10914591667934,8189300
2019-08-22,90.5338363647461,90.99183116800695,89.87598304602544,90.24238397118269,9343400
2019-08-23,88.28548431396484,90.58380664012972,87.52770801689051,89.9342822845842,14762300
2019-08-26,88.99331665039062,89.09323957717945,88.2771726935309,88.7851354153311,8209500
2019-08-27,88.05233764648438,89.5678968566484,87.30288389350494,89.3930253731511,14331800
2019-08-28,88.93502807617188,89.2764420053732,87.46943037086167,87.50274013157181,10585500
2019-08-29,90.95022583007812,91.50815005723666,89.9509520147204,90.05088130221245,10002200
2019-08-30,91.48316955566406,92.06607451787697,91.15840731197578,91.46651149777935,10170300
2019-09-03,90.4006118774414,90.7586838336829,89.36803479442348,90.75036115909096,9868800
2019-09-04,91.49150848388672,91.782960996528,90.40063428916031,91.14175911552887,6929200
2019-09-05,93.57328796386719,94.69746517203724,92.59899512047951,92.64063390170975,13224700
2019-09-06,93.77316284179688,94.0812733792189,93.23189032067715,93.814801633109,7836600
2019-09-09,96.0964584350586,96.6460535865878,94.59755101600251,94.68915126678856,13985100
2019-09-10,97.32054901123047,97.65363384645042,96.37124325384443,96.84589613253745,14333100
2019-09-11,97.58705139160156,97.59537406787013,96.07981471936417,97.33723133340877,9919200
2019-09-12,98.18659210205078,98.65291599447772,96.5294650426872,97.05408577485404,12283500
2019-09-13,100.11851501464844,100.26007671933779,98.88607939811611,99.09426061790163,16257200
2019-09-16,99.22750091552734,99.81873482488761,98.57797016482331,99.01099066529267,11993900
2019-09-17,98.73619079589844,98.76950055416515,97.62866515798076,98.61128079069498,10735400
2019-09-18,99.72712707519531,99.99359876574736,98.05334839378504,98.52800129111796,10665600
2019-09-19,99.41071319580078,100.21012847348885,99.16922217131356,99.67718495503014,9382600
2019-09-20,99.01097869873047,100.21009807491771,98.98599797156618,99.7104644720742,21862800
2019-09-23,98.99433898925781,99.19419754997867,97.99507159840206,98.07834282210885,9135100
2019-09-24,97.70362091064453,99.3107803347605,97.46212991028452,98.88608882701101,11696500
2019-09-25,98.26152801513672,98.56130945631915,97.52873246623864,97.65363610574288,9389400
2019-09-26,97.45378875732422,98.30317166714923,97.38716924416413,98.16160361338743,9899200
2019-09-27,98.02838134765625,98.79448677077322,97.66198033956242,98.22823355516782,10207800
2019-09-30,98.0033950805664,98.90273314016682,97.61201336278754,98.56131923633397,9755000
2019-10-01,96.22137451171875,99.0942731673112,96.10479352212985,98.59463944718914,11250300
2019-10-02,94.30609893798828,95.68009635209307,94.03962721277664,95.60514780424667,12548700
2019-10-03,94.17181396484375,94.77617994697239,92.77001815470811,94.23896075968352,12735200
2019-10-04,96.21151733398438,96.48012364569001,94.23893272793397,94.2976901584921,9453100
2019-10-07,96.00167083740234,96.95018549828043,95.74984961213853,95.85057938306001,6771600
2019-10-08,93.8612289428711,94.9020778401845,93.72692895809571,94.9020778401845,10806300
2019-10-09,94.5411148071289,94.9859998107205,94.07105536675085,94.57469139631013,7273700
2019-10-10,95.86737823486328,96.86626112659962,94.85171024760429,94.96922512850495,10994100
2019-10-11,97.48741149902344,99.04029219014632,97.26077748848188,97.39507746404115,15076500
2019-10-14,97.74760437011719,98.10015535066832,97.08448755421654,97.24396834600351,8779000
2019-10-15,100.69390869140625,102.06212139443683,98.93957472992682,99.76217894016276,23379000
2019-10-16,100.4588623046875,101.24789619160684,100.20704107147665,100.69389204017496,11087700
2019-10-17,101.02127075195312,102.0453345259204,100.62675375010531,101.35703031123302,10818500
2019-10-18,101.19754028320312,101.58366152427676,100.60996587376081,100.72748075564928,10417400
2019-10-21,103.70732879638672,103.89199044870072,102.39786730744612,102.44823539815012,12714600
2019-10-22,104.74817657470703,105.00838715862461,103.34638747464497,103.62338315258815,12549100
2019-10-23,105.02518463134766,105.0503654758586,104.22775493204527,104.2529357765562,8828300
2019-10-24,104.94961547851562,105.47843872770618,104.14379658897873,105.16786009570663,8020500
2019-10-25,105.78903198242188,106.30945958714014,104.71460658281819,104.9244554938058,9055700
2019-10-28,106.19194793701172,106.7795223440041,106.09961390104424,106.24230962787371,9522200
2019-10-29,106.12478637695312,106.95578623104298,105.71348432449575,105.8142076982762,9797300
2019-10-30,105.5372085571289,105.98208718762481,104.85729378599515,105.80581488520643,8513700
2019-10-31,104.85730743408203,105.53722229371259,103.96755005728059,105.33576271837272,11589100
2019-11-01,107.2747802734375,107.4342611124434,105.7806504470059,105.93174193938296,11682600
2019-11-04,108.1309585571289,108.63458828447786,107.91270748126549,108.34919682483061,9159900
2019-11-05,108.36597442626953,109.37324655994044,108.14772337839811,108.60939350871064,13747600
2019-11-06,108.53385925292969,108.98712726477348,107.9294933650306,108.02182739813077,11231100
2019-11-07,109.12142181396484,110.20423644099009,109.05426863279247,109.4823557535867,13528900
2019-11-08,109.4404067993164,109.45718549011131,108.49188563480679,109.02070898254733,9293400
2019-11-11,109.0542984008789,109.20539630180122,108.57584946564516,108.78569841103051,8679000
2019-11-12,108.41635131835938,109.64186186363345,108.29043427888917,108.81086832067467,9099000
2019-11-13,107.84553527832031,108.13093949581825,106.95577805617127,107.55175452452816,8023300
2019-11-14,107.94628143310547,108.1477281838948,107.0984836629982,107.20760919178286,8483400
2019-11-15,108.7269058227539,108.7269058227539,107.77838474168644,108.47508459321318,10163600
2019-11-18,109.64183807373047,109.66701891452844,108.27363209379071,108.75208087711125,8749300
2019-11-19,109.60828399658203,110.17067753731702,109.27251805633361,109.95243928227629,8824500
2019-11-20,108.81087493896484,109.6418685324678,108.23168982339449,109.37326855328546,11782800
2019-11-21,109.06267547607422,109.72580524144826,108.60940744063517,109.12143932208836,7705500
2019-11-22,109.7845458984375,110.14549267000164,109.2053736879638,109.2473332218215,8167900
2019-11-25,110.37214660644531,110.85899765561119,109.85171255628201,110.17068702494706,10068500
2019-11-26,110.52323150634766,110.64914854763965,109.42362517647261,110.64914854763965,10490700
2019-11-27,110.85059356689453,111.16116587580957,110.5064382575681,111.04365099069346,6607900
2019-11-29,110.59878540039062,111.14440035234516,110.3385747531006,110.69111945021903,5712000
2019-12-02,110.3553466796875,111.4213827371211,110.25462330071022,111.06043594885068,8615600
2019-12-03,108.93675994873047,109.08785781698134,107.93787713537544,108.9283706036678,10361300
2019-12-04,111.08560180664062,111.19472732458425,109.11302998821597,109.44039373388743,10318200
2019-12-05,111.68997192382812,111.89982081525518,110.95129972739375,111.37099751024785,9587400
2019-12-06,113.35199737548828,113.97315484652908,113.0246335426258,113.05821654547277,10170600
2019-12-09,112.82316589355469,113.70453383693349,112.82316589355469,113.0078339505735,8498200
2019-12-10,112.89872741699219,113.12536785385457,111.53891041214305,111.84948273839561,7532900
2019-12-11,112.63011169433594,113.33521383416968,112.48741595874733,112.72244573597118,9011900
2019-12-12,115.8533935546875,116.23111904323477,112.65529811247318,112.89032787459864,13717400
2019-12-13,114.83772277832031,116.53330566547402,114.34248239311461,115.79463335658292,10592100
2019-12-16,115.2825927734375,116.54168621869084,115.26581408270995,116.15557140138324,11372000
2019-12-17,115.98770141601562,116.39900995448599,115.19027799569905,115.60997588093547,11546800
2019-12-18,115.87017822265625,116.69279524068683,115.60157825558498,115.96251226312246,10381500
2019-12-19,115.29100799560547,116.02127817801964,115.08115906427614,115.63515050878223,9350400
2019-12-20,115.19864654541016,116.57525469508127,114.91324233250232,115.85337403073183,29992600
2019-12-23,115.16507720947266,115.76105373892261,114.89647726966703,115.50084314443066,9738400
2019-12-24,115.4840316772461,115.52600401287849,115.04754244135464,115.27418280724271,3324300
2019-12-26,116.70957946777344,116.75995397164019,115.65194543350027,115.74427947834526,6770900
2019-12-27,116.79350280761719,117.32232613212733,116.39898585253188,116.92780917704204,7868200
2019-12-30,116.36543273925781,117.58255397138528,116.23112635012536,117.43145608157073,6963000
2019-12-31,117.01172637939453,117.07887955568643,116.07999687160225,116.2646649043653,7201600
2020-01-02,118.43034362792967,118.43874578267754,116.894247864113,117.3391265882161,10803700
2020-01-03,116.86744689941406,117.61930434602122,115.80302341365986,116.15783124224458,10386800
2020-01-06,116.7745361328125,116.80833472515138,115.31306282861507,115.36374782673732,10259000
2020-01-07,114.789306640625,116.46197611772448,114.7386216398624,115.97199962637478,10531300
