Date,close,high,low,open,volume
2019-08-19,134.733154296875,135.08559811759991,134.31745840033864,134.733154296875,2875000
2019-08-20,133.70294189453125,134.67894341559926,133.6577539576497,134.48012752485826,1739000
2019-08-21,134.8325958251953,135.01333381608123,134.4891977793395,134.79645374278806,1439700
2019-08-22,134.71510314941406,135.4651650076134,133.86561955356686,135.20309702925036,1730700
2019-08-23,131.3172149658203,134.92299858610667,130.7117349915837,134.1187026454727,3808300
2019-08-26,132.64564514160156,132.73602103906205,131.63350127928854,132.41971918737627,3623000
2019-08-27,132.03111267089844,133.5945161704236,131.6515449920224,133.42281026555676,1984700
2019-08-28,132.97093200683594,133.06130787231103,131.31715295247312,131.66056469397324,1981000
2019-08-29,134.733154296875,134.9952360393805,133.8384966385694,134.28130253751377,2576000
2019-08-30,134.68798828125,135.4561419129367,134.14577435543316,135.44710984047134,2267900
2019-09-03,133.81143188476562,134.24520585939598,133.17882817620657,133.73913392408957,4307800
2019-09-04,135.23927307128906,135.23927307128906,134.48921102471272,134.92298500344478,2071700
2019-09-05,137.046630859375,137.46234053854073,136.23330322158176,136.45922909757113,2991800
2019-09-06,137.07376098632812,137.41717278086597,136.82072507122334,137.19124687170648,1568700
2019-09-09,137.1550750732422,137.60692679364874,136.59476956313233,137.56173886372403,2575200
2019-09-10,137.29066467285156,137.29066467285156,136.1248929652997,136.78459280633527,3435200
2019-09-11,138.4112091064453,138.42024117580095,137.09179614132356,137.44423989805722,3848100
2019-09-12,138.82691955566406,139.28781714032428,138.31181575973952,138.8359654153917,3486800
2019-09-13,138.69142150878906,139.24268137128965,138.51971558268514,139.05289750837858,3002500
2019-09-16,138.40997314453125,138.61877349262375,138.02866627916976,138.1920854861257,1690800
2019-09-17,138.745849609375,138.78215728716526,137.9923371586304,138.31008821286665,2104500
2019-09-18,138.7277069091797,138.75494113422008,137.4022617818586,138.58244847389312,1716700
2019-09-19,138.6369171142578,139.4539714901641,138.4916586932861,139.01821007985444,2061400
2019-09-20,138.02862548828125,139.10896229812235,137.6291856781596,138.90016201173555,2106100
2019-09-23,138.1012725830078,138.40995017768083,137.6019692924996,137.72906694232796,2051800
2019-09-24,136.82122802734375,138.72769284999598,136.3582185433668,138.53705329403346,4234600
2019-09-25,137.68368530273438,137.91064640318623,136.10403105665128,136.83938280569828,6144100
2019-09-26,137.26608276367188,137.6836973201004,136.6033601712382,137.6836973201004,1723000
2019-09-27,136.44900512695312,137.72906895272652,135.66825845158124,137.66551320058218,1940200
2019-09-30,137.08448791503906,137.420385869812,136.67596075468734,136.76673687220742,1702000
2019-10-01,135.2960968017578,137.88345978119318,135.19623332897862,137.53847435657218,2823000
2019-10-02,133.0990447998047,134.57883534627607,132.38185394416865,134.52435305559914,3811500
2019-10-03,134.17941284179688,134.17941284179688,131.54665561814403,132.98105151531897,4380400
2019-10-04,135.9315185546875,136.00414775853926,134.39725952325398,134.68777633866102,2509200
2019-10-07,135.39585876464844,136.34909777148806,135.16889775600094,135.61374631988627,2237400
2019-10-08,133.20802307128906,134.687814077616,133.1898761546946,134.39729718080733,2213900
2019-10-09,134.43357849121094,134.89657407276852,133.92518792653502,134.22477819199133,3294600
2019-10-10,135.2960968017578,135.7227849261224,134.35194439307276,134.36101785328503,3508900
2019-10-11,136.7486114501953,137.9015639068572,136.6033530162105,136.63966069840333,3377100
2019-10-14,136.62152099609375,136.85755557432472,136.40363333361384,136.6487552223278,1213500
2019-10-15,137.96510314941406,138.29192766044946,137.01186383784372,137.1117272676769,2153200
2019-10-16,137.7108917236328,138.03771619640395,137.42037492445692,137.66549674218615,1578400
2019-10-17,138.1648406982422,138.57336790549098,137.84708961893415,138.29193835944417,1640400
2019-10-18,137.6110382080078,138.17389723116023,136.9936968916368,137.93786270429732,1720000
2019-10-21,138.5098114013672,138.61874828445593,138.04680194303074,138.3100845473014,1710100
2019-10-22,138.09219360351562,138.90924791221732,138.02863785484107,138.83661870770538,1711800
2019-10-23,138.3736114501953,138.43716719351303,137.78351826060327,137.9650843302775,1804000
2019-10-24,138.75489807128906,138.97278565659695,138.24650755817322,138.9092299161562,1582200
2019-10-25,139.3087158203125,139.59014535862454,138.37363722732474,138.43719298248203,2461600
2019-10-28,140.15301513671875,140.40721044642123,139.8080298510059,139.916966740134,2725500
2019-10-29,140.1258087158203,140.5343359837091,139.90792104172914,140.01685795247064,1561500
2019-10-30,140.46168518066406,140.661412054746,139.48121157679077,140.17116832650632,2246000
2019-10-31,139.97145080566406,140.42537303116322,139.28149400984387,140.42537303116322,2224400
2019-11-01,141.46939086914062,141.46939086914062,140.64324916180192,140.71587837424326,2341400
2019-11-04,141.9868621826172,142.32277403882028,141.78713530139584,142.25921827997416,2150600
2019-11-05,141.85977172851562,142.33185473109077,141.68729291560845,142.16844937593433,2377100
2019-11-06,141.7962188720703,141.89608231004755,141.28782822513392,141.84161386253382,2288400
2019-11-07,142.27737426757812,142.84023335796272,141.99594472238584,142.53156958921028,2407300
2019-11-08,142.6768341064453,142.6768341064453,141.69636045861225,142.13212190678027,2132400
2019-11-11,142.39541625976562,142.46803162992657,141.85070401530373,141.98687515011528,1738900
2019-11-12,142.64048767089844,143.15796555550443,142.29551626709872,142.55878501099357,1730700
2019-11-13,142.70404052734375,142.88560660765435,141.9777623534974,142.14118152259974,2189400
2019-11-14,142.84934997558594,142.9310526630291,142.27740345826578,142.52252537320425,2096200
2019-11-15,143.93873596191406,143.93873596191406,143.24876533512662,143.57558988134,2615300
2019-11-18,144.0204315185547,144.11122149736346,143.54834856343962,143.82070464726007,3128400
2019-11-19,144.06582641601562,144.4834270720154,143.67544613051408,144.3926509458704,2225200
2019-11-20,143.61192321777344,144.09307969304493,142.75854717405187,143.7299474352351,3336200
2019-11-21,143.248779296875,143.74809654845123,142.9310420295868,143.68455463603675,2220300
