Date,close,high,low,open,volume
2019-08-19,102.35258483886719,103.33808363868526,101.7857022896433,103.1026128294492,2630900
2019-08-20,101.75081634521484,102.72759868482353,101.57639401668506,102.55316970250843,2402000
2019-08-21,102.63166046142578,104.06194479248336,102.50956350539295,102.91074016861299,2783000
2019-08-22,102.8147964477539,103.73053018763787,102.23047440417835,103.19853350504387,2118200
2019-08-23,99.47457122802734,101.95140958484441,98.82920061796472,101.38452702769591,6102000
2019-08-26,99.78852844238281,100.87868455625376,99.28269440863832,100.34668784038195,5200400
2019-08-27,98.88154602050781,100.69556790939946,98.68096096434185,100.43393435955862,3160700
2019-08-28,100.17228698730469,100.25077505050406,97.45997746253221,98.42803683137569,3187900
2019-08-29,102.71015167236328,103.02411718433844,101.59383280924509,101.7072133103271,3442900
2019-08-30,103.78287506103516,104.29742561752062,103.30320364923877,103.8003146333797,2912000
2019-09-03,102.06478881835938,102.8235399721447,100.64322744794225,102.8235399721447,3780600
2019-09-04,103.8700942993164,103.99219127657028,103.13751243579323,103.27704898674641,3688400
2019-09-05,107.26264953613281,108.35280576224056,105.09106019678616,105.09106019678616,5355100
2019-09-06,107.00972747802734,108.44001184734512,106.8004193554842,107.8905755304999,3315700
2019-09-09,110.9779052734375,111.10000224006025,107.44579639300441,107.6115022707577,4433300
2019-09-10,113.62914276123047,113.62914276123047,110.95172634666011,110.98661213970067,8479700
2019-09-11,116.07112121582031,116.15833904498017,112.91403275230425,114.11756959533406,7592600
2019-09-12,114.9024429321289,115.72224237713645,113.43727964897636,115.12047413313864,5594600
2019-09-13,116.67288208007812,116.85603418642157,114.36175614033641,115.81820330147553,3704900
2019-09-16,116.12344360351562,116.69033286332922,115.1117886721724,115.98391371104994,2876500
2019-09-17,115.26876068115234,115.78331124192438,114.41408189964962,115.63505158751066,2888900
2019-09-18,114.3094253540039,115.3123637390043,113.13205133024618,114.79781320435438,3005700
2019-09-19,113.48089599609375,115.14665787025295,113.26286475521127,114.65827001988751,2725700
2019-09-20,111.77153778076172,114.23965300814035,111.5186207445561,113.38496096808136,6412300
2019-09-23,111.99827575683594,112.39945905791272,110.18425440524928,111.05637928730616,2723500
2019-09-24,109.87902069091797,112.50411865595002,109.5127298084815,112.27737095946192,3370700
2019-09-25,110.41973876953125,110.60288420778674,109.03305666018932,109.75692195456953,2354100
2019-09-26,110.22787475585938,110.69009992673692,109.582504139188,110.57672607566042,2227400
2019-09-27,110.40230560302734,111.0912851829771,109.59123570358501,110.75988006319037,2214300
2019-09-30,110.15809631347656,110.84707579746417,109.78308233241457,110.18425899642284,2795300
2019-10-01,106.72193145751953,112.06805495208918,106.66088297778263,111.1087188474587,3718200
2019-10-02,104.62010192871094,106.26841745304654,104.07938209677916,105.65793268617593,4255800
2019-10-03,104.68988800048828,104.70732757318939,102.25665840085375,104.07939649537586,3110200
2019-10-04,105.56200408935547,105.65793836556114,104.08811080381881,104.41079942867286,2442300
2019-10-07,104.87303161621094,106.1376102091125,104.43696911468822,105.39630528728104,2334500
2019-10-08,102.88457489013672,103.95728478447495,102.64038098423158,103.59971703762383,3530000
2019-10-09,104.1666030883789,104.70731628302644,102.9107410681663,104.21020534232315,2557300
2019-10-10,107.00099182128906,107.29751105387508,104.44566593937611,104.68985981416085,3242900
2019-10-11,111.98084259033203,113.70765963960612,109.36447429287088,109.54761974100388,6747800
2019-10-14,111.96341705322266,112.12039317301185,109.89647831011335,110.59417435083628,2851500
2019-10-15,114.27452087402344,114.84139671759955,111.32674120304566,111.62326046560642,3289000
2019-10-16,113.54194641113281,115.8269094621706,113.47217482004238,114.24836547301426,3038300
2019-10-17,115.18155670166016,115.87052960568415,113.5332276540093,114.22221386560489,3418300
2019-10-18,114.8914794921875,116.05172609554933,114.25861283138282,114.3992394354293,4329200
2019-10-21,116.22754669189453,117.29990359596353,115.58589490902482,115.98143331183017,4225200
2019-10-22,117.5108642578125,118.01187599396005,115.09366872480608,116.54398067974059,4681600
2019-10-23,118.96115112304688,119.53249617583376,114.88268442038245,117.98548277719414,11295900
2019-10-24,117.65147399902344,118.91719388583161,116.35937237399749,118.74140057478907,3916200
2019-10-25,122.81986999511719,123.039614992166,118.53045677300003,118.66229840636123,8319500
2019-10-28,123.10994720458984,124.48995236069824,122.06395876900125,123.03084221673143,6174000
2019-10-29,124.22624206542969,124.33171537103556,121.976055464704,122.51223378848395,4427900
2019-10-30,123.35606384277344,123.93619392688437,122.71441212607785,123.93619392688437,3948100
2019-10-31,121.12344360351562,123.3560468454086,119.88407861609899,122.50343519410808,4037600
2019-11-01,127.00381469726562,127.10928799679138,122.38037168957018,122.50342834307334,6220200
2019-11-04,129.13973999023438,129.21005999969466,127.46968335510648,127.75974836456625,5437800
2019-11-05,128.6563262939453,130.08906829749563,128.0410428425405,129.08703141601538,4516700
2019-11-06,127.88284301757812,128.74423991805912,127.15328779139418,128.74423991805912,3736600
2019-11-07,129.21888732910156,130.44946777978362,128.9903572825716,129.5529041304856,3816700
2019-11-08,130.2296905517578,130.24726049641615,128.15529704749628,128.91122044512136,2776600
2019-11-11,130.08905029296875,130.22089193853222,128.86726853278518,128.98154023372115,2205100
2019-11-12,128.62994384765625,130.5021757413813,128.34867719166374,130.1857423707823,2843100
2019-11-13,127.00381469726562,128.20801290741568,126.30062807203221,126.88954301466651,3194400
2019-11-14,126.08090209960938,127.75095885069148,125.87874044098123,126.75772050200787,2581700
2019-11-15,127.72461700439453,128.22564218090506,127.02143012733943,127.06538182193802,2827400
2019-11-18,126.21275329589844,127.25874179362981,125.71174159752489,126.78409842610897,2638600
2019-11-19,125.85236358642578,127.24115374623103,125.48319355592137,126.88078210046817,2085100
2019-11-20,124.39323425292969,125.43042405581157,123.14508445406257,125.21067908955676,3484700
2019-11-21,126.01057434082031,126.52038435434406,123.89222930501572,124.41962267408732,3297700
2019-11-22,126.46764373779297,126.977453735345,125.72050539037687,126.50279703561685,2258300
2019-11-25,128.70025634765625,128.83211140147145,126.39733292579847,127.23236128461039,3085200
2019-11-26,128.41018676757812,128.90241342847895,127.88280680754323,128.68266842542175,2468100
2019-11-27,128.05859375,128.08496207608002,126.3094187843955,127.46967878059625,2660200
2019-11-29,127.21482849121094,127.85649383470518,126.3885847760523,126.74018498046895,1652500
2019-12-02,125.65898132324219,128.36622780466405,125.55349460748107,127.62788785518536,2896200
2019-12-03,123.10994720458984,123.43516554056656,121.7914770915968,123.10116223221831,3839600
2019-12-04,123.16267395019531,125.06127397901427,123.05720064153998,123.91859729062303,2484600
2019-12-05,123.98014831542969,124.04166994935473,122.64409478077899,123.56702658703225,2277700
2019-12-06,125.44802856445312,126.06331189129615,124.9645868747298,125.61503691291851,2271400
2019-12-09,125.54473114013672,125.94026950852357,125.14039438683032,125.6677878194609,1585100
2019-12-10,125.57988739013672,126.2127541592753,124.59543393244223,125.4216774039383,1888900
2019-12-11,126.57313537597656,127.11809875028364,125.94905359880876,126.3709737068259,2265700
2019-12-12,129.01670837402344,129.5616717879268,125.69416440196628,126.16880779275743,3714100
2019-12-13,127.91796112060547,130.44062948380306,127.5839444214164,129.03426950039207,3311700
2019-12-16,127.76856231689453,130.35276624898975,127.65429059908094,129.83417115028314,2414800
2019-12-17,128.6563262939453,129.20130313276675,127.8564645132057,127.8916178194974,2850800
2019-12-18,129.31552124023438,129.4737445997974,127.97948142167782,128.77055798298548,2629500
2019-12-19,127.46967315673828,129.1924663080846,126.83680653439941,129.1924663080846,3576800
2019-12-20,129.7110595703125,129.88685285336308,127.66303496296214,129.54405125715573,6805400
2019-12-23,130.52854919433594,130.55491752523977,129.0167022990439,129.80777905050425,2346500
2019-12-24,129.6319580078125,130.7922179683515,129.46494967299222,130.70431460933995,966200
2019-12-26,130.28237915039062,130.2911641194791,129.20123781717749,130.00109919356015,1576900
2019-12-27,130.3351593017578,130.90649096308024,130.08026099142793,130.65159265275034,1544500
2019-12-30,129.66709899902344,130.50212709534165,129.2188107340121,130.45817542455293,1789200
2019-12-31,129.8077850341797,130.29122680998924,129.02549321956897,129.58803999173654,1952500
2020-01-02,132.31283569335938,132.33041904575924,130.07143439434336,130.96799759638338,3311900
2020-01-03,130.4757843017578,131.81183756455434,129.60558933369578,130.76584929111183,3100600
2020-01-06,130.3878936767578,130.58127035521247,128.80572694947924,129.44739202442912,2549600
2020-01-07,128.66513061523438,129.71111923696287,127.90040869333494,129.5177425130043,2841900
2020-01-08,129.80776977539062,130.5900749102151,128.7354264335202,129.06064476621157,2153200
2020-01-09,129.48257446289062,130.06270462880732,128.7793876022801,129.92206457425047,2272500
2020-01-10,128.4453582763672,129.84293332908996,128.18166158041527,129.60560496151612,2393700
2020-01-13,129.0518341064453,129.06061907697946,127.9355258888454,128.79692242709862,3355200
2020-01-14,128.9287872314453,130.071463978306,128.60356890500333,129.60560562501354,2742200
2020-01-15,127.9531478881836,128.9815530623795,127.62791610982664,128.52447962534595,2640500
