timestamp,open,high,low,close,volume,trade_count,vwap
2021-07-01 04:00:00,130.97,131.38,126.84,126.97,1446024.0,28024.0,127.69
2021-07-02 04:00:00,128.45,128.56,125.58,126.14,1034357.0,23456.0,126.47
2021-07-06 04:00:00,126.28,126.59,122.25,124.12,1887075.0,28116.0,124.18
2021-07-07 04:00:00,125.56,125.56,120.56,121.14,2979075.0,37884.0,121.36
2021-07-08 04:00:00,118.14,121.38,116.93,120.54,1681493.0,28795.0,119.95
2021-07-09 04:00:00,121.39,123.62,120.08,123.36,1471753.0,21342.0,123.01
2021-07-12 04:00:00,123.73,124.9,122.81,124.72,1261988.0,22289.0,124.33
2021-07-13 04:00:00,123.91,125.67,123.21,124.43,1208922.0,22642.0,124.58
2021-07-14 04:00:00,125.76,128.45,123.58,123.92,1278071.0,23966.0,125.05
2021-07-15 04:00:00,123.47,123.47,119.9,120.84,1880211.0,28026.0,121.12
2021-07-16 04:00:00,121.33,122.48,117.41,117.66,1371843.0,21243.0,118.41
2021-07-19 04:00:00,116.01,117.91,114.22,117.83,1586277.0,30858.0,116.79
2021-07-20 04:00:00,119.14,122.32,117.58,121.48,1504939.0,24896.0,121.1
2021-07-21 04:00:00,122.04,126.13,121.86,126.07,1397691.0,22462.0,125.14
2021-07-22 04:00:00,125.35,126.77,123.69,124.36,1155182.0,20697.0,124.54
2021-07-23 04:00:00,125.84,127.06,124.47,126.4,944270.0,18339.0,126.16
2021-07-26 04:00:00,125.62,127.49,124.62,125.06,1413927.0,21622.0,125.23
2021-07-27 04:00:00,124.15,124.55,118.52,121.16,2715330.0,40726.0,120.69
2021-07-28 04:00:00,116.96,121.71,115.51,119.81,2574276.0,39577.0,119.43
2021-07-29 04:00:00,122.01,124.93,121.58,123.31,2267431.0,30428.0,123.12
2021-07-30 04:00:00,121.63,126.47,121.63,124.64,1333272.0,24082.0,124.43
2021-08-02 04:00:00,125.25,127.86,124.42,124.66,1144250.0,22679.0,125.29
2021-08-03 04:00:00,125.17,125.86,122.52,124.38,1075126.0,20576.0,124.21
2021-08-04 04:00:00,124.31,126.62,124.05,125.52,1158279.0,21637.0,125.52
2021-08-05 04:00:00,125.91,126.19,123.69,124.23,1072332.0,19008.0,124.46
2021-08-06 04:00:00,123.76,125.35,123.31,124.51,743145.0,15742.0,124.43
2021-08-09 04:00:00,124.93,125.26,123.26,123.6,731012.0,15581.0,124.07
2021-08-10 04:00:00,123.77,124.36,117.95,120.2,1494092.0,23068.0,120.64
2021-08-11 04:00:00,120.64,120.76,116.62,119.12,1467712.0,25395.0,118.7
2021-08-12 04:00:00,117.87,117.89,115.89,116.44,1493590.0,24625.0,116.6
2021-08-13 04:00:00,115.93,116.94,115.56,116.54,1144446.0,18686.0,116.39
2021-08-16 04:00:00,116.07,117.37,115.12,116.27,1165526.0,17208.0,116.17
2021-08-17 04:00:00,114.94,115.25,112.49,113.93,1266981.0,23379.0,113.84
2021-08-18 04:00:00,113.9,115.42,111.71,111.89,1660512.0,26090.0,112.93
2021-08-19 04:00:00,111.44,112.94,109.92,112.09,1555419.0,25866.0,111.74
2021-08-20 04:00:00,112.25,113.28,110.07,111.45,1637996.0,25402.0,111.12
2021-08-23 04:00:00,112.03,115.02,112.03,114.48,1044444.0,18981.0,114.18
2021-08-24 04:00:00,115.66,116.59,114.33,114.63,1125964.0,18065.0,114.84
2021-08-25 04:00:00,114.9,116.54,114.74,115.86,1142702.0,17183.0,115.8
2021-08-26 04:00:00,115.66,116.59,114.55,114.98,716756.0,13428.0,115.18
2021-08-27 04:00:00,115.37,120.5,115.37,120.32,1552078.0,22527.0,118.74
2021-08-30 04:00:00,121.16,121.8,119.85,120.92,1083566.0,20230.0,120.88
2021-08-31 04:00:00,121.05,121.05,117.69,119.28,2253804.0,22963.0,119.37
2021-09-01 04:00:00,120.18,120.35,117.47,117.54,1408210.0,23866.0,118.66
2021-09-02 04:00:00,118.3,119.46,118.22,118.72,909419.0,15442.0,118.6
2021-09-03 04:00:00,118.43,120.25,118.22,119.71,861456.0,15288.0,119.57
2021-09-07 04:00:00,119.99,120.45,117.93,118.02,1468408.0,17590.0,118.38
2021-09-08 04:00:00,117.86,118.24,116.39,116.72,1391975.0,22977.0,116.94
2021-09-09 04:00:00,116.67,118.5,116.02,117.05,878714.0,15554.0,117.22
2021-09-10 04:00:00,118.04,121.97,118.04,118.82,1544633.0,22613.0,119.55
2021-09-13 04:00:00,119.83,120.84,117.98,120.14,1092246.0,22748.0,119.71
2021-09-14 04:00:00,120.63,121.04,118.79,120.14,1356432.0,21559.0,119.94
2021-09-15 04:00:00,120.24,120.33,118.51,120.05,1145333.0,18849.0,119.86
2021-09-16 04:00:00,119.37,121.63,118.17,120.95,1004287.0,17271.0,120.61
2021-09-17 04:00:00,120.1,120.73,117.29,119.19,3117949.0,28167.0,119.03
2021-09-20 04:00:00,116.23,116.23,112.63,114.41,2083816.0,28865.0,114.33
2021-09-21 04:00:00,115.59,115.6,113.51,113.92,1995998.0,24212.0,114.31
2021-09-22 04:00:00,114.89,116.42,114.09,116.2,2450081.0,28376.0,115.42
2021-09-23 04:00:00,117.01,118.75,116.52,117.61,2622738.0,28816.0,117.9
2021-09-24 04:00:00,116.75,117.96,116.32,117.21,1392063.0,18009.0,117.32
2021-09-27 04:00:00,116.24,117.02,115.03,115.45,2241234.0,22658.0,115.75
2021-09-28 04:00:00,113.22,113.49,108.35,109.49,2656677.0,47681.0,109.81
2021-09-29 04:00:00,110.29,110.65,107.15,107.23,1785247.0,29722.0,107.92
2021-09-30 04:00:00,108.04,109.55,107.16,107.23,1698734.0,26668.0,107.88
2021-10-01 04:00:00,107.75,108.03,106.06,107.52,1553139.0,26306.0,107.5
2021-10-04 04:00:00,106.5,106.76,103.36,105.36,2594686.0,35895.0,105.13
2021-10-05 04:00:00,106.28,108.28,105.36,107.53,2947220.0,29346.0,107.49
2021-10-06 04:00:00,105.96,107.46,105.1,107.06,1881977.0,28180.0,106.77
2021-10-07 04:00:00,110.35,111.04,109.21,109.45,1703613.0,24444.0,109.9
2021-10-08 04:00:00,109.87,110.03,107.25,107.61,1121808.0,20516.0,107.86
2021-10-11 04:00:00,106.98,108.45,106.0,106.1,971443.0,21204.0,106.99
2021-10-12 04:00:00,107.83,107.83,104.95,105.44,1139462.0,20531.0,105.68
2021-10-13 04:00:00,106.72,107.33,106.18,106.54,1366224.0,22149.0,106.66
2021-10-14 04:00:00,109.4,110.77,108.44,110.71,1914041.0,26004.0,110.02
2021-10-15 04:00:00,111.97,112.79,111.22,111.89,1709162.0,24088.0,111.91
2021-10-18 04:00:00,110.87,113.8,110.56,113.72,1318294.0,19148.0,113.23
2021-10-19 04:00:00,114.25,115.06,113.64,114.64,1363675.0,19385.0,114.58
2021-10-20 04:00:00,114.42,114.98,113.0,114.87,1007787.0,19447.0,114.43
2021-10-21 04:00:00,114.19,115.72,113.94,115.45,856914.0,17034.0,115.17
2021-10-22 04:00:00,115.45,118.66,113.85,114.05,1496633.0,24075.0,115.13
2021-10-25 04:00:00,114.06,116.57,113.61,115.19,1288128.0,20881.0,115.41
2021-10-26 04:00:00,116.48,116.74,113.08,113.1,1455087.0,24954.0,113.79
2021-10-27 04:00:00,117.29,122.61,115.73,120.88,3625525.0,47943.0,120.13
2021-10-28 04:00:00,127.69,135.89,126.11,134.57,6087115.0,73848.0,133.6
2021-10-29 04:00:00,132.8,136.27,132.57,135.78,2687700.0,36986.0,134.77
2021-11-01 04:00:00,135.72,137.33,134.18,137.13,2240903.0,28592.0,136.47
2021-11-02 04:00:00,136.87,137.31,134.94,136.87,1753389.0,28225.0,136.47
2021-11-03 04:00:00,137.71,139.17,136.13,137.82,1447961.0,24671.0,137.71
2021-11-04 04:00:00,137.93,142.15,136.74,142.02,1966954.0,32540.0,140.72
2021-11-05 04:00:00,142.68,144.15,139.68,141.65,1842283.0,27783.0,141.55
2021-11-08 05:00:00,142.19,142.62,139.85,141.33,1264303.0,20213.0,141.39
2021-11-09 05:00:00,142.17,143.12,140.64,142.83,1219478.0,20826.0,142.36
2021-11-10 05:00:00,140.62,142.84,138.99,139.48,1509929.0,23744.0,140.11
2021-11-11 05:00:00,141.28,141.76,139.31,140.66,870485.0,16134.0,140.64
2021-11-12 05:00:00,141.45,143.76,140.26,143.59,1126801.0,17588.0,142.85
2021-11-15 05:00:00,145.51,147.28,144.12,145.53,1530957.0,24199.0,145.68
2021-11-16 05:00:00,145.64,148.82,144.94,148.55,1415542.0,19868.0,147.39
2021-11-17 05:00:00,149.48,150.99,148.21,148.91,2063061.0,24927.0,149.2
2021-11-18 05:00:00,149.72,149.99,147.12,148.17,1166645.0,17928.0,148.22
2021-11-19 05:00:00,147.57,150.72,146.79,148.58,1001117.0,18189.0,148.74
2021-11-22 05:00:00,149.45,151.75,146.63,146.72,1215911.0,24713.0,148.37
2021-11-23 05:00:00,145.2,147.93,143.11,146.54,1033584.0,23265.0,145.89
2021-11-24 05:00:00,145.13,148.32,144.05,148.25,1087408.0,19622.0,147.33
2021-11-26 05:00:00,145.81,148.81,142.93,143.84,1136901.0,19123.0,144.39
2021-11-29 05:00:00,146.96,152.22,144.0,151.8,2121132.0,29304.0,149.51
2021-11-30 05:00:00,151.22,152.22,148.18,150.25,2795830.0,32558.0,150.35
2021-12-01 05:00:00,153.09,155.51,149.52,149.74,1795361.0,32687.0,151.73
2021-12-02 05:00:00,146.96,149.74,144.69,148.35,2026480.0,29558.0,147.77
2021-12-03 05:00:00,150.43,152.34,146.52,147.98,1795426.0,29831.0,148.16
2021-12-06 05:00:00,148.72,151.29,142.43,149.99,2388927.0,26864.0,149.14
2021-12-07 05:00:00,151.64,157.14,151.64,156.38,2043659.0,31111.0,156.02
2021-12-08 05:00:00,156.38,157.9,154.42,157.66,1074779.0,22364.0,157.17
2021-12-09 05:00:00,156.37,158.77,153.81,153.89,1262269.0,20154.0,155.01
2021-12-10 05:00:00,156.77,157.2,152.13,157.02,1316629.0,19697.0,155.77
2021-12-13 05:00:00,157.78,157.8,152.48,152.7,1758901.0,23073.0,154.32
2021-12-14 05:00:00,151.25,153.63,149.41,153.27,1265294.0,23671.0,152.35
2021-12-15 05:00:00,155.29,159.48,151.66,159.18,1735368.0,25441.0,156.41
2021-12-16 05:00:00,159.83,160.24,153.47,155.59,2506652.0,34349.0,155.82
2021-12-17 05:00:00,154.62,158.0,151.77,153.58,4510124.0,35313.0,154.05
2021-12-20 05:00:00,152.43,155.41,152.25,153.04,2755779.0,27032.0,153.17
2021-12-21 05:00:00,154.89,157.8,153.35,157.61,1610489.0,23840.0,156.57
2021-12-22 05:00:00,156.53,158.23,156.1,158.14,1430962.0,14408.0,157.83
2021-12-23 05:00:00,158.36,161.29,158.36,159.95,2554985.0,16192.0,159.97
2021-12-27 05:00:00,161.19,166.02,160.7,165.67,1240351.0,17750.0,164.82
2021-12-28 05:00:00,165.61,166.02,161.63,161.79,1266627.0,17879.0,163.0
2021-12-29 05:00:00,161.96,164.57,161.96,163.91,656485.0,13419.0,163.58
2021-12-30 05:00:00,163.91,163.91,160.54,160.91,1051303.0,16847.0,161.55
2021-12-31 05:00:00,161.72,163.01,160.5,160.73,1366346.0,14139.0,161.2
2022-01-03 05:00:00,162.03,164.28,160.02,163.26,2259432.0,20583.0,163.05
2022-01-04 05:00:00,163.3,164.42,157.68,163.53,1523750.0,25916.0,162.12
2022-01-05 05:00:00,161.4,163.89,157.49,157.5,1929770.0,29808.0,159.84
2022-01-06 05:00:00,157.05,161.88,155.99,160.68,1809620.0,27864.0,160.19
2022-01-07 05:00:00,159.78,161.13,154.17,155.56,1882633.0,23318.0,156.02
2022-01-10 05:00:00,153.13,154.07,147.9,153.93,1832539.0,35560.0,151.92
2022-01-11 05:00:00,152.99,158.1,151.24,157.79,1552166.0,22944.0,156.77
2022-01-12 05:00:00,159.46,161.68,158.46,160.11,955833.0,17297.0,160.14
2022-01-13 05:00:00,162.77,164.82,154.73,155.54,1417508.0,22861.0,157.08
2022-01-14 05:00:00,154.51,161.89,154.02,161.75,1620223.0,22740.0,159.75
2022-01-18 05:00:00,158.18,158.82,152.58,152.89,2338763.0,27785.0,153.65
2022-01-19 05:00:00,153.57,155.75,145.61,145.78,1927100.0,35899.0,147.77
2022-01-20 05:00:00,147.78,150.22,142.8,142.99,1537629.0,32022.0,145.52
