timestamp,open,high,low,close,volume,trade_count,vwap
2020-06-01 04:00:00,70.39,71.36,70.37,71.05,26547380.0,33486.0,70.96
2020-06-02 04:00:00,70.99,71.44,70.41,71.42,28116720.0,39727.0,71.04
2020-06-03 04:00:00,71.38,71.78,70.95,71.28,28501560.0,41344.0,71.29
2020-06-04 04:00:00,70.98,71.41,69.71,70.08,31958540.0,50923.0,70.41
2020-06-05 04:00:00,70.13,71.71,69.77,71.38,38308880.0,60106.0,71.17
2020-06-08 04:00:00,70.58,71.86,70.58,71.79,32490980.0,43059.0,71.39
2020-06-09 04:00:00,71.73,72.85,71.62,72.26,31590960.0,46792.0,72.3
2020-06-10 04:00:00,72.43,73.16,72.27,72.74,33296480.0,54562.0,72.72
2020-06-11 04:00:00,71.58,72.18,69.57,69.67,44375780.0,68827.0,70.48
2020-06-12 04:00:00,70.89,71.31,68.78,70.13,42469000.0,60529.0,70.08
2020-06-15 04:00:00,69.02,70.71,68.88,70.46,32487160.0,55210.0,69.93
2020-06-16 04:00:00,71.72,72.2,70.76,71.59,37295600.0,58624.0,71.59
2020-06-17 04:00:00,71.81,72.45,71.03,72.01,33384480.0,48800.0,71.89
2020-06-18 04:00:00,71.91,72.03,70.81,71.26,34322520.0,55107.0,71.29
2020-06-19 04:00:00,71.66,71.85,70.53,71.05,83646000.0,65158.0,71.2
2020-06-22 04:00:00,70.77,72.09,70.63,72.05,34746920.0,44844.0,71.71
2020-06-23 04:00:00,72.24,73.24,71.72,72.67,31737820.0,43783.0,72.63
2020-06-24 04:00:00,72.53,73.22,70.95,71.06,38084720.0,54445.0,71.56
2020-06-25 04:00:00,70.96,71.6,70.47,71.53,26609520.0,37389.0,71.17
2020-06-26 04:00:00,71.03,71.13,67.09,67.48,93000080.0,119420.0,68.5
2020-06-29 04:00:00,67.4,69.26,66.85,69.23,39461180.0,62603.0,68.56
2020-06-30 04:00:00,69.0,70.4,68.68,70.15,46616900.0,62236.0,69.66
2020-07-01 04:00:00,70.03,71.61,69.96,71.36,37864380.0,63634.0,71.05
2020-07-02 04:00:00,71.8,73.59,71.78,72.69,40032240.0,66406.0,72.66
2020-07-06 04:00:00,73.45,74.76,73.09,74.22,33998080.0,56190.0,74.07
2020-07-07 04:00:00,73.94,75.27,73.62,73.7,31383420.0,49012.0,74.36
